  Optum,,,  MDiv,  Substance Use,,  Strength-Based
  Out of Network,,,  M-Div,  Suicidal Ideation,,  Transpersonal
  PHCS,,,  MEd,  Testing and Evaluation,,  Trauma Focused
  Piedmont employee assistance program,,,  MFA,  Transgender,, Adlerian
  SAS EAP provider,,,  MFT,  Trauma and PTSD,, Art Therapy
  Self-pay,,,  MPH,  Weight Loss,, Attachment-based
  Sliding scale,,,  MS,adult childrens relsps with paren,, Biofeedback
  State Health Plan,,,  MSEd,Aspergers Syndrome,, Clinical Supervision and Licensed Supervisors -
  TRICARE,,,  MSS,Mens Issues,, Coaching
  Tricare - Non Network Provider,,,  MSSW,Womens Issues,, Cognitive Behavioral (CBT)
  UMR,,,  MSW,,, Culturally Sensitive
  UNC Student Health Insurance,,,  NBCC, Addiction,, Dialectical (DBT)
  UNC Student Health Insurance Plan,,,  NBC-HWC, ADHD,, Eclectic
  UnitedHealthcare,,,  NCC, Anxiety,, EMDR
  Workplace Options EAP,,,  NCP, Aspergers Syndrome,, Existential
 Aetna,,,  NP, Autism,, Family / Marital
 Aetna EAP,,,  PhD, Behavioral Issues,, Humanistic
 Aetna Employee Assistance Program,,,  PLLC, Coping Skills,, Hypnotherapy
 Anthem,,,  Psy.D., Depression,,
 APS Healthcare,,,  PsyD, Domestic Violence,, Neurofeedback
 Beacon,,,  RDT, Eating Disorders,, Psychoanalytic
 Blue Advantage,,,  RPT, Emotional Disturbance,, treatment-approach
 Blue Cross,,,  RYT, Family Conflict,,Acceptance and Commitment (ACT)
 Cigna,,,  RYT-500, Grief,,
 Duke Student Health Insurance,,,  SEP, Infidelity,,
 Duke Student Plan Only,,, Clinical Social Work/Therapist, Issues of meaning,,
 insurance,,, Drug & Alcohol Counselor, Life Coaching,,
 Medicaid,,, Lic Clinical Mental Health Counselor Associate, Life Transitions,,
 Medicare,,, Licensed Clinical Mental Health Counselor, Marital and Premarital,,
 Out of Network,,, Licensed Professional Counselor, Mood Disorders,,
 TRICARE,,, MA, N/A,,
BlueCross and BlueShield,,, Marriage & Family Therapist, Parenting,,
,,, MAT, Personality Disorders,,
,,, MD, Pregnancy,,
,,, Ph.D., Relationship Issues,,
,,, PhD, Self Esteem,,
,,, Pre-Licensed Professional, Sex Therapy,,
,,, Psychological Associate, specialities,,
,,, Psychologist, Spirituality,,
,,, titles, Sports Performance,,
,,,Counselor, Stress,,
,,,, Testing and Evaluation,,
,,,, Trauma and PTSD,,
,,,,Child or Adolescent,,
